Energy,Ion_1,Ion_2,Ion_3,Ion_4,Ion_5,Ion_6,Ion_7,ND_1,ND_2,ND_3,EA,Nu_1,Nu_2,Nu_3,Nu_4,J3,J4,Lya,Lyb,Lyg,Ha,Hb,Hg,Hd,CHG,CIII,CI,CIV,Elastic,Inelastic,RotVib,Ion,ND,Total_a,Total
54.28675439,1.55E-14,1.26E-14,3.05E-15,1.60E-15,4.81E-16,2.91E-16,2.61E-15,9.81E-15,3.57E-17,4.82E-16,1.39E-27,4.29E-16,3.80E-16,3.63E-16,1.18E-15,8.76E-15,3.52E-15,4.52E-16,8.94E-17,4.22E-17,2.12E-16,5.36E-17,2.49E-17,1.04E-17,2.43E-16,1.41E-17,2.70E-17,7.55E-18,6.96E-14,6.23E-14,1.46E-14,3.62E-14,1.03E-14,1.31E-13,1.32E-13
68.6648845,1.56E-14,1.27E-14,3.13E-15,1.72E-15,5.76E-16,3.53E-16,3.65E-15,7.71E-15,4.69E-18,4.99E-16,3.29E-29,3.58E-16,2.79E-16,2.55E-16,9.83E-16,7.34E-15,2.62E-15,5.40E-16,1.12E-16,5.27E-17,2.66E-16,6.29E-17,2.80E-17,1.17E-17,2.43E-16,1.92E-17,3.76E-17,9.72E-18,5.78E-14,5.92E-14,1.18E-14,3.78E-14,8.22E-15,1.16E-13,1.17E-13
86.85113738,1.54E-14,1.26E-14,3.09E-15,1.72E-15,6.12E-16,3.77E-16,4.20E-15,5.91E-15,6.16E-19,4.62E-16,7.76E-31,2.99E-16,2.05E-16,1.79E-16,8.22E-16,6.14E-15,1.95E-15,5.77E-16,1.25E-16,5.89E-17,2.88E-16,6.60E-17,2.84E-17,1.17E-17,2.31E-16,2.24E-17,4.68E-17,1.21E-17,4.80E-14,5.55E-14,9.60E-15,3.80E-14,6.38E-15,1.02E-13,1.04E-13
109.8541142,1.49E-14,1.22E-14,2.95E-15,1.62E-15,5.98E-16,3.69E-16,4.30E-15,4.70E-15,8.10E-20,3.94E-16,1.83E-32,2.50E-16,1.51E-16,1.26E-16,6.87E-16,5.15E-15,1.45E-15,5.74E-16,1.24E-16,5.89E-17,2.77E-16,6.29E-17,2.66E-17,1.08E-17,2.13E-16,2.23E-17,4.43E-17,1.26E-17,3.99E-14,5.13E-14,7.82E-15,3.70E-14,5.09E-15,8.98E-14,9.12E-14
138.9495494,1.42E-14,1.16E-14,2.73E-15,1.46E-15,5.45E-16,3.37E-16,4.04E-15,3.61E-15,1.07E-20,3.22E-16,4.32E-34,2.09E-16,1.11E-16,8.83E-17,5.74E-16,4.31E-15,1.08E-15,5.38E-16,1.11E-16,5.35E-17,2.44E-16,5.56E-17,2.36E-17,9.53E-18,1.92E-16,2.07E-17,3.88E-17,1.13E-17,3.31E-14,4.65E-14,6.38E-15,3.49E-14,3.94E-15,7.83E-14,7.96E-14
175.7510625,1.32E-14,1.08E-14,2.45E-15,1.27E-15,4.71E-16,2.92E-16,3.56E-15,2.78E-15,1.40E-21,2.64E-16,1.02E-35,1.74E-16,8.16E-17,6.20E-17,4.80E-16,3.61E-15,8.07E-16,4.78E-16,9.36E-17,4.52E-17,2.04E-16,4.67E-17,2.01E-17,8.07E-18,1.69E-16,1.81E-17,3.29E-17,9.31E-18,2.75E-14,4.15E-14,5.22E-15,3.21E-14,3.04E-15,6.78E-14,6.90E-14
222.2996483,1.21E-14,9.90E-15,2.15E-15,1.07E-15,3.92E-16,2.44E-16,3.01E-15,2.14E-15,1.84E-22,2.16E-16,2.41E-37,1.45E-16,6.00E-17,4.36E-17,4.02E-16,3.03E-15,6.01E-16,4.03E-16,7.55E-17,3.64E-17,1.65E-16,3.79E-17,1.66E-17,6.64E-18,1.46E-16,1.49E-17,2.74E-17,7.45E-18,2.28E-14,3.64E-14,4.28E-15,2.88E-14,2.35E-15,5.83E-14,5.92E-14
281.1768698,1.09E-14,8.87E-15,1.85E-15,8.84E-16,3.16E-16,1.99E-16,2.47E-15,1.64E-15,2.42E-23,1.77E-16,5.69E-39,1.21E-16,4.41E-17,3.06E-17,3.36E-16,2.53E-15,4.47E-16,3.24E-16,5.95E-17,2.85E-17,1.31E-16,3.02E-17,1.35E-17,5.37E-18,1.24E-16,1.16E-17,2.22E-17,5.89E-18,1.89E-14,3.15E-14,3.51E-15,2.54E-14,1.82E-15,4.97E-14,5.05E-14
355.6480306,9.59E-15,7.82E-15,1.56E-15,7.19E-16,2.49E-16,1.59E-16,1.98E-15,1.26E-15,3.18E-24,1.45E-16,1.34E-40,1.01E-16,3.24E-17,2.15E-17,2.81E-16,2.12E-15,3.33E-16,2.50E-16,4.63E-17,2.20E-17,1.03E-16,2.38E-17,1.08E-17,4.27E-18,1.03E-16,8.59E-18,1.75E-17,4.65E-18,1.57E-14,2.70E-14,2.89E-15,2.21E-14,1.41E-15,4.21E-14,4.27E-14
449.8432669,8.35E-15,6.78E-15,1.29E-15,5.80E-16,1.94E-16,1.26E-16,1.58E-15,9.70E-16,4.18E-25,1.19E-16,3.17E-42,8.47E-17,2.38E-17,1.51E-17,2.35E-16,1.78E-15,2.48E-16,1.86E-16,3.58E-17,1.68E-17,8.04E-17,1.86E-17,8.51E-18,3.36E-18,8.48E-17,6.16E-18,1.34E-17,3.68E-18,1.31E-14,2.28E-14,2.38E-15,1.89E-14,1.09E-15,3.54E-14,3.59E-14
568.9866029,7.16E-15,5.81E-15,1.06E-15,4.64E-16,1.49E-16,9.91E-17,1.24E-15,7.46E-16,5.50E-26,9.71E-17,7.49E-44,7.07E-17,1.75E-17,1.06E-17,1.96E-16,1.49E-15,1.85E-16,1.35E-16,2.76E-17,1.28E-17,6.28E-17,1.46E-17,6.68E-18,2.63E-18,6.92E-17,4.44E-18,9.98E-18,2.91E-18,1.08E-14,1.91E-14,1.97E-15,1.60E-14,8.43E-16,2.96E-14,3.00E-14
719.685673,6.08E-15,4.91E-15,8.60E-16,3.70E-16,1.14E-16,7.78E-17,9.78E-16,5.73E-16,7.22E-27,7.95E-17,1.77E-45,5.91E-17,1.29E-17,7.44E-18,1.64E-16,1.25E-15,1.38E-16,9.60E-17,2.13E-17,9.72E-18,4.90E-17,1.14E-17,5.23E-18,2.05E-18,5.62E-17,3.21E-18,7.22E-18,2.31E-18,9.00E-15,1.59E-14,1.63E-15,1.34E-14,6.53E-16,2.47E-14,2.49E-14
910.298178,5.11E-15,4.12E-15,6.92E-16,2.93E-16,8.71E-17,6.09E-17,7.66E-16,4.41E-16,9.50E-28,6.51E-17,4.17E-47,4.93E-17,9.47E-18,5.23E-18,1.37E-16,1.05E-15,1.02E-16,6.75E-17,1.64E-17,7.38E-18,3.83E-17,8.85E-18,4.08E-18,1.59E-18,4.55E-17,2.31E-18,5.11E-18,1.84E-18,7.47E-15,1.32E-14,1.35E-15,1.11E-14,5.06E-16,2.05E-14,2.07E-14
1151.395399,4.28E-15,3.45E-15,5.65E-16,2.32E-16,6.62E-17,4.81E-17,6.07E-16,3.39E-16,1.25E-28,5.33E-17,9.85E-49,4.12E-17,6.96E-18,3.67E-18,1.15E-16,8.76E-16,7.63E-17,4.73E-17,1.25E-17,5.63E-18,2.99E-17,6.90E-18,3.17E-18,1.23E-18,3.68E-17,1.67E-18,3.58E-18,1.46E-18,6.20E-15,1.09E-14,1.12E-15,9.24E-15,3.92E-16,1.70E-14,1.71E-14
1456.348478,3.59E-15,2.89E-15,4.55E-16,1.84E-16,5.05E-17,3.77E-17,4.76E-16,2.60E-16,1.64E-29,4.36E-17,2.33E-50,3.44E-17,5.12E-18,2.58E-18,9.59E-17,7.33E-16,5.68E-17,3.32E-17,9.66E-18,4.27E-18,2.34E-17,5.38E-18,2.47E-18,9.50E-19,2.97E-17,1.20E-18,2.53E-18,1.16E-18,5.15E-15,9.03E-15,9.28E-16,7.68E-15,3.04E-16,1.41E-14,1.42E-14
