,1.0,1.264855216855296,1.599858719606058,2.023589647725157,2.5595479226995357,3.237457542817644,4.094915062380426,5.179474679231212,6.551285568595509,8.286427728546844,10.481131341546858,13.257113655901096,16.768329368110084,21.209508879201906,26.826957952797258,33.9322177189533,42.91934260128778,54.286754393238596,68.66488450043002,86.8511373751353,109.85411419875584,138.94954943731375,175.7510624854793,222.29964825261956,281.1768697974231,355.64803062231283,449.8432668969444,568.9866029018299,719.6856730011522,910.2981779915218,1151.3953993264481,1456.3484775012444,1842.0699693267163,2329.951810515372,2947.0517025518097,3727.593720314942,4714.866363457394,5963.623316594642,7543.120063354622,9540.954763499944,12067.92640639329,15264.179671752334,19306.977288832495,24420.5309454865,30888.43596477485,39069.39937054621,49417.13361323838,62505.51925273976,79060.43210907701,100000.0
0,0.0184274034,0.015051452,0.0130103051,0.0076129221,0.0084199376,0.0114145848,0.0125641284,0.0274773653,0.0224728609,0.0170940851,0.0253353061,0.0277929069,0.0278801627,0.0332687036,0.0396243712,0.0469323956,0.0547759462,0.0615685181,0.0692013993,0.0772231904,0.0852985245,0.0936633663,0.1031576025,0.1140220579,0.1256282306,0.1382364092,0.1522594889,0.1676430304,0.18415848,0.2023689811,0.2231373593,0.2460192064,0.2677012686,0.2903044585,0.3171341842,0.3470689655,0.3758084072,0.4069010563,0.4432197081,0.4749242065,0.51127203,0.5611982424,0.6077725555,0.650834878,0.6893579335,0.7232267731,0.7411897524,0.7582770651,0.774122289,0.7884721441
1,0.036165011,0.0293405658,0.0251951169,0.0150126156,0.0165940403,0.0223714792,0.0250078294,0.0539769931,0.0444717492,0.0341654057,0.0500773345,0.0550024658,0.0554310031,0.0659501982,0.0782220942,0.0926893396,0.1084523063,0.121620796,0.1364268893,0.1517778328,0.1671634671,0.1832722669,0.2009038917,0.2205144653,0.2416823837,0.264232521,0.2893857093,0.3170070725,0.3454104426,0.3766117936,0.4113692792,0.4483119643,0.4830908446,0.5185289978,0.5586045374,0.6012271329,0.6409817009,0.6812035745,0.7244384666,0.7607763222,0.803072515,0.8606624484,0.9087576321,0.9479997619,0.9780315155,1.0,1.0,1.0,1.0,1.0
2,0.0532128227,0.0428695045,0.0365513601,0.0221899519,0.0245688434,0.0329819428,0.0374285954,0.0795982865,0.0660953285,0.0513194062,0.0743129125,0.0815931763,0.0825496098,0.0980971104,0.1159669573,0.136709034,0.1592261057,0.1781577907,0.1992184131,0.2207651635,0.2421862028,0.2645865975,0.2887304907,0.3152295825,0.3436575318,0.3729623156,0.4049939916,0.4402032603,0.4756824025,0.5136215129,0.5548536685,0.5975444562,0.6359813059,0.6735286904,0.7146990849,0.7560864698,0.7923026275,0.8262784904,0.860161307,0.8868113105,0.9180091751,0.9603776669,0.9871280813,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.0694722963,0.0556388307,0.0471819839,0.0291178574,0.032267846,0.043196247,0.0497226164,0.104250104,0.0873245069,0.0685735466,0.0980388832,0.1075686016,0.1092052067,0.1296050205,0.1528307676,0.1789314287,0.2069010774,0.2311132384,0.2574766683,0.2843526789,0.3110188862,0.3385008905,0.3677379557,0.3994211654,0.4328799228,0.4669837469,0.5038084978,0.543156381,0.5813309523,0.6218468902,0.6646315526,0.7068873686,0.744035899,0.7792136428,0.8157903257,0.8499713132,0.8785083785,0.9037644201,0.9267618936,0.9440206829,0.9647384053,0.9922981924,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.0850419741,0.0676913866,0.0570805649,0.0358072192,0.0396950257,0.0530299112,0.0619960763,0.1280172741,0.1080965621,0.0858268474,0.1212761823,0.1329591918,0.1353871125,0.1604736815,0.1887917722,0.2194570527,0.2518178749,0.2809222539,0.3118625224,0.343158189,0.3740963826,0.4055911091,0.4387343541,0.4742124383,0.511017343,0.5479490296,0.5870076069,0.627886116,0.6667012121,0.7066110785,0.747390406,0.7864120253,0.8197464272,0.8501129889,0.8802081392,0.9067471103,0.9281290215,0.9443001089,0.9549973539,0.9643000674,0.9777102265,0.9931187726,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.099921856,0.0790297172,0.0662434197,0.0422379089,0.0468455435,0.0624674756,0.0741427023,0.150815676,0.1284790232,0.1031402407,0.143899662,0.1576830461,0.161127199,0.1906892769,0.2238267901,0.2583280731,0.2940812051,0.3276869013,0.3625593271,0.3974772614,0.4318825568,0.4665632107,0.5024569381,0.5402493379,0.5789628141,0.6173025128,0.6569109256,0.6973708952,0.7349839985,0.7725135243,0.8096052874,0.8439175713,0.8724208395,0.8977347713,0.921444729,0.9389766181,0.9523165611,0.9631244773,0.9700915539,0.9762026941,0.9851338958,0.995057128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.114111942,0.0897131591,0.0747757057,0.0484148677,0.053700321,0.0715205249,0.0861681374,0.1727475343,0.1484238012,0.1204329941,0.166039459,0.1818291246,0.186391727,0.220263657,0.2579435604,0.295566052,0.3338260322,0.3715996107,0.4096680346,0.4474838763,0.4846999902,0.5216960768,0.5593782465,0.5985030203,0.6380414572,0.6765795754,0.7153649896,0.7540611997,0.7893977607,0.8235717599,0.8562361738,0.8855825656,0.9094924373,0.9291299281,0.9453661592,0.95696986,0.9659129593,0.9736717917,0.9795586414,0.9842075528,0.9903920126,0.9975388676,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.1276122322,0.0997481102,0.0826867115,0.05433755,0.060253782,0.0801947832,0.0980654913,0.1937060672,0.1678948661,0.1377407894,0.1876864118,0.2053833597,0.2111879242,0.2491897449,0.291112955,0.3312678099,0.3711928718,0.4125183502,0.4533489468,0.4935148818,0.532819231,0.5713790716,0.6101832118,0.6498909,0.6891702488,0.7269127659,0.7639841682,0.8000440703,0.8326057806,0.8630832909,0.8908774895,0.9146877686,0.9339160183,0.9486700922,0.9592775542,0.9677206612,0.9746123246,0.9805059653,0.9856173881,0.9893180769,0.993817399,0.9992016179,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.1404227266,0.1091510245,0.0900137797,0.059993915,0.0665000482,0.0885089034,0.1098393546,0.2137996166,0.1869300427,0.1550253095,0.2088515235,0.2283700333,0.2354773631,0.277364155,0.3232985298,0.3654208481,0.4062730881,0.4509002207,0.4938208166,0.5357089636,0.576635069,0.6161784273,0.655334692,0.6948492304,0.7333147012,0.7695432295,0.8043311298,0.8374389758,0.8666619025,0.8934926026,0.9165288044,0.9344351406,0.9491265451,0.960636301,0.9684066986,0.9751356649,0.9807612867,0.9853937573,0.9895499106,0.9924427147,0.9958514636,0.9998670297,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
